RESPNO,REGION,URBRUR,Q70A,Q70B,Q70C,Q71A,Q71B,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_GHA,Q63F_GHA,Q64A,Q64B,Q64C,Q64D,Q64E,Q100,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Province or region,Urban or Rural Primary Sampling Unit,Q70a. Regional organisation recognizes our country's needs/interests,Q70b. African Union recognizes our country's needs/interests,Q70c. African countries should have greater influence in international bodies,Q71a. Considered emigration to other country,Q71b. Most likely country for emigration,Q60a. Heard about climate change,Q60b. Climate change: affecting country,Q61a. Climate change: main cause,Q61b. Main responsibility for causing climate change,Q62a. Government must act now to limit climate change,Q62b. Rich countries must act now to limit climate change,Q62c. Rich countries should contribute to climate adaptation costs,Q62d. Who primarily responsible for limiting climate change,Q63a. Ban tree cutting for firewood/charcoal even if fuel more costly,Q63b. Require cleaner fuel cookstoves even if more costly,Q63c. Invest in infrastructure for climate resilience,Q63d. Pressure rich countries to provide climate change aid,Q63e-gha. Promote electric taxis/buses even if more costly,Q63f-gha. Invest in wind/solar energy even if more costly,Q64a. Climate change adaptation: change water consumption,Q64b. Climate change adaptation: change outdoor work,Q64c. Climate change adaptation: move to another place,Q64d. Climate change adaptation: change livestock rearing,Q64e. Climate change adaptation: change crops or food,Q100. Willing to participate in follow-up surveys,Q101. Respondent's gender,Q102. Language of interview,Q103. Others present,Q104a. Check with others,Q104b. Influence by others,Q104c. Approached by community/party representatives,Q104d. Feel threatened,Q104e. Physically threatened
GHA0072,267.0,1.0,4.0,9.0,4.0,3.0,5.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Don't know/Haven't heard enough to say,Agree,A lot,North America (i.e. USA or Canada),Yes,Much better,Natural weather patterns or natural processes,None of these,Agree,Agree,Strongly agree,Ordinary Citizens,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,No,No,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0078,267.0,2.0,3.0,3.0,3.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Neither Agree nor disagree,Neither Agree nor disagree,Neither Agree nor disagree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,No,No,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0095,267.0,2.0,4.0,4.0,4.0,3.0,7.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,A lot,Middle East,Yes,Much worse,Natural weather patterns or natural processes,"People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,The government of country,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0100,267.0,2.0,4.0,4.0,2.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Disagree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,No,Yes,No,No,No,No,Woman,Akan,No one,No,No,No,No,No
GHA0103,267.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,9.0,4.0,2.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Neither Agree nor disagree,Neither Agree nor disagree,Neither Agree nor disagree,Somewhat,Europe,Yes,Somewhat worse,Both human activity and natural processes,"People, businesses and governments in other parts of the world",Agree,Neither Agree nor disagree,Neither Agree nor disagree,Don’t know,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,No,No,No,No,No,Yes,Man,Akan,Another adult/a few others,No,No,No,No,No
GHA0115,267.0,2.0,9.0,9.0,9.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Agree,Disagree,Strongly agree,Ordinary Citizens,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,No,No,No,No,No,No,Woman,Akan,No one,No,No,No,No,No
GHA0136,267.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,Somewhat,Europe,Yes,Somewhat worse,Both human activity and natural processes,"The people, businesses and government of country",Disagree,Disagree,Disagree,The government of country,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Man,Akan,Another adult/a few others,No,No,No,No,No
GHA0140,267.0,1.0,4.0,4.0,1.0,3.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Strongly disagree,A lot,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,No,No,Man,Akan,No one,No,No,No,No,No
GHA0141,267.0,1.0,9.0,3.0,4.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Neither Agree nor disagree,Agree,Somewhat,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,No,No,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0143,267.0,1.0,2.0,1.0,5.0,3.0,5.0,1.0,4.0,1.0,2.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,0.0,7.0,9.0,1.0,2.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Disagree,Strongly disagree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Agree,Agree,Ordinary Citizens,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Yes,No,Not applicable,Don't know,Yes,Woman,English,Children only,No,No,No,No,No
GHA0145,267.0,1.0,9.0,9.0,9.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,5.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Strongly agree,Agree,Don’t know,Don’t know,No,No,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0147,267.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,7.0,8.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Strongly agree,A little bit,North America (i.e. USA or Canada),Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,Ordinary Citizens,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Not applicable,Refused to answer,No,Man,English,No one,No,No,No,No,No
GHA0150,267.0,1.0,4.0,4.0,4.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,1.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,No,No,Yes,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0151,267.0,1.0,3.0,3.0,3.0,2.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Neither Agree nor disagree,Neither Agree nor disagree,Neither Agree nor disagree,Somewhat,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No,No,No,Don’t know,Don't know,No,Man,English,No one,No,No,No,No,No
GHA0169,267.0,2.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Strongly agree,Agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Agree,Agree,Agree,The government of country,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0171,267.0,2.0,9.0,9.0,9.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,7.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,No,Yes,Yes,Not applicable [Respondent does not have a mobile phone number],Woman,Akan,No one,No,No,No,No,No
GHA0175,267.0,2.0,4.0,4.0,4.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,260.0,,1.0,1.0,1.0,1.0,1.0,1.0,ASHANTI,Rural,Agree,Agree,Agree,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Yes,No,No,No,No,Man,Akan,No one,Yes,Yes,Yes,Yes,Yes
