RESPNO,REGION,URBRUR,Q70A,Q70B,Q70C,Q71A,Q71B,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_GHA,Q63F_GHA,Q64A,Q64B,Q64C,Q64D,Q64E,Q100,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Province or region,Urban or Rural Primary Sampling Unit,Q70a. Regional organisation recognizes our country's needs/interests,Q70b. African Union recognizes our country's needs/interests,Q70c. African countries should have greater influence in international bodies,Q71a. Considered emigration to other country,Q71b. Most likely country for emigration,Q60a. Heard about climate change,Q60b. Climate change: affecting country,Q61a. Climate change: main cause,Q61b. Main responsibility for causing climate change,Q62a. Government must act now to limit climate change,Q62b. Rich countries must act now to limit climate change,Q62c. Rich countries should contribute to climate adaptation costs,Q62d. Who primarily responsible for limiting climate change,Q63a. Ban tree cutting for firewood/charcoal even if fuel more costly,Q63b. Require cleaner fuel cookstoves even if more costly,Q63c. Invest in infrastructure for climate resilience,Q63d. Pressure rich countries to provide climate change aid,Q63e-gha. Promote electric taxis/buses even if more costly,Q63f-gha. Invest in wind/solar energy even if more costly,Q64a. Climate change adaptation: change water consumption,Q64b. Climate change adaptation: change outdoor work,Q64c. Climate change adaptation: move to another place,Q64d. Climate change adaptation: change livestock rearing,Q64e. Climate change adaptation: change crops or food,Q100. Willing to participate in follow-up surveys,Q101. Respondent's gender,Q102. Language of interview,Q103. Others present,Q104a. Check with others,Q104b. Influence by others,Q104c. Approached by community/party representatives,Q104d. Feel threatened,Q104e. Physically threatened
GHA0563,267.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Strongly disagree,Strongly disagree,Strongly disagree,A lot,North America (i.e. USA or Canada),Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,Rich or developed countries,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,Yes,No,No,No,No,Man,Akan,No one,No,No,No,No,No
GHA0565,267.0,1.0,1.0,1.0,1.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Strongly disagree,Strongly disagree,Strongly disagree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Not applicable,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0567,267.0,1.0,4.0,4.0,2.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Disagree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0575,267.0,1.0,4.0,5.0,5.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,9.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Strongly agree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Don’t know,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No,No,No,No,No,Yes,Man,English,No one,No,No,No,No,No
GHA0578,267.0,1.0,4.0,4.0,4.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,No,No,No,Not applicable,No,No,Man,English,Spouse only,No,No,No,No,No
GHA0585,267.0,1.0,4.0,5.0,2.0,3.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Disagree,A lot,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don’t know,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,No,No,No,No,No,Woman,Akan,No one,No,No,No,No,No
GHA0586,267.0,1.0,4.0,5.0,4.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Agree,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,No,No,No,Not applicable,No,No,Woman,English,No one,No,No,No,No,No
GHA0587,267.0,1.0,4.0,4.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Disagree,A lot,North America (i.e. USA or Canada),Yes,Somewhat better,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Agree,Strongly agree,Ordinary Citizens,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0588,267.0,1.0,4.0,5.0,4.0,3.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat better,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Agree,Agree,Agree,Ordinary Citizens,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,No,No,No,Not applicable,Yes,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0589,267.0,1.0,9.0,9.0,9.0,1.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A little bit,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,No,No,No,No,Yes,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0595,267.0,1.0,4.0,4.0,4.0,1.0,2.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,A little bit,Another country in the region,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,No,No,Yes,Yes,Man,Akan,No one,No,No,No,No,No
GHA0615,267.0,1.0,4.0,2.0,5.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Disagree,Strongly agree,Somewhat,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,No,No,No,No,No,No,Man,English,Children only,No,No,No,No,No
GHA0623,267.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,2.0,1.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,Natural weather patterns or natural processes,"The people, businesses and government of country",Disagree,Strongly agree,Agree,The government of country,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,No,No,Not applicable,No,Yes,Man,Akan,Another adult/a few others,No,No,No,No,No
GHA0626,267.0,1.0,9.0,9.0,9.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,No,No,No,No,No,No,Woman,English,No one,No,No,No,No,No
GHA0627,267.0,1.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,5.0,3.0,1.0,4.0,4.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Strongly agree,A lot,Europe,Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Agree,Strongly agree,The government of country,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Yes,Yes,Yes,Yes,Yes,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0632,267.0,1.0,2.0,2.0,3.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Disagree,Disagree,Neither Agree nor disagree,Somewhat,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,No,No,No,Not applicable,No,No,Woman,English,Children only,No,No,No,No,No
GHA0638,267.0,1.0,4.0,5.0,5.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,9.0,5.0,5.0,1.0,1.0,1.0,7.0,9.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Strongly agree,Strongly agree,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Don’t know,Strongly agree,Strongly agree,Yes,Yes,Yes,Not applicable,Don't know,No,Man,English,No one,No,No,No,No,No
GHA0647,267.0,1.0,9.0,9.0,9.0,3.0,10.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,Outside of Africa (place not specified),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Woman,Akan,Children only,No,No,No,No,No
GHA0649,267.0,1.0,9.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,1.0,5.0,2.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Don't know/Haven't heard enough to say,Neither Agree nor disagree,Agree,A lot,Europe,Yes,Somewhat better,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Agree,Agree,Ordinary Citizens,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,No,No,Not applicable,Yes,No,Man,English,No one,No,No,No,No,No
GHA0697,267.0,2.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Strongly agree,Strongly agree,Ordinary Citizens,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0698,267.0,2.0,9.0,9.0,9.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Not applicable,Yes,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0700,267.0,2.0,9.0,9.0,9.0,2.0,4.0,1.0,4.0,9.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Somewhat,Europe,Yes,Somewhat worse,Don’t know / Haven’t heard enough,"People, businesses and governments in other parts of the world",Agree,Agree,Agree,Rich or developed countries,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0701,267.0,2.0,4.0,4.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,Somewhat,North America (i.e. USA or Canada),Yes,Somewhat better,Natural weather patterns or natural processes,"The people, businesses and government of country",Strongly agree,Agree,Agree,The government of country,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Yes,Yes,No,No,No,No,Woman,Akan,No one,No,No,No,No,No
GHA0703,267.0,2.0,9.0,9.0,9.0,3.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,7.0,9.0,0.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,North America (i.e. USA or Canada),Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,The government of country,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,No,No,No,Not applicable,Don't know,No,Woman,Akan,No one,No,No,No,No,No
GHA0705,267.0,2.0,9.0,9.0,9.0,3.0,5.0,1.0,4.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,Ordinary Citizens,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,No,No,No,No,No,No,Man,Akan,Children only,No,No,No,No,No
GHA0707,267.0,2.0,4.0,4.0,4.0,0.0,97.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,260.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,Not at all,Not applicable,Yes,Somewhat worse,Natural weather patterns or natural processes,"The people, businesses and government of country",Agree,Agree,Agree,Ordinary Citizens,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,Yes,Woman,Akan,Children only,No,No,No,No,No
GHA0710,267.0,2.0,4.0,4.0,4.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Agree,Agree,Agree,Agree,Agree,No,No,No,No,No,No,Man,Akan,No one,No,No,No,No,No
GHA0732,267.0,2.0,4.0,2.0,4.0,3.0,5.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Disagree,Agree,A lot,North America (i.e. USA or Canada),Yes,Much worse,Both human activity and natural processes,"People, businesses and governments in other parts of the world",Agree,Neither Agree nor disagree,Neither Agree nor disagree,The government of country,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,No,No,No,No,No,No,Woman,Akan,Another adult/a few others,No,No,No,No,No
GHA0733,267.0,2.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Strongly agree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,Both human activity and natural processes,"People, businesses and governments in other parts of the world",Neither Agree nor disagree,Neither Agree nor disagree,Neither Agree nor disagree,The government of country,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,No,No,No,No,No,No,Woman,Akan,Children only,No,No,No,No,No
GHA0736,267.0,2.0,9.0,9.0,9.0,0.0,97.0,1.0,9.0,9.0,9.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,,2.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,Yes,Don’t know / Haven’t heard enough to say,Don’t know / Haven’t heard enough,Don’t know / Haven’t heard enough,Neither Agree nor disagree,Strongly agree,Neither Agree nor disagree,The government of country,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,No,No,No,No,No,No,Man,Akan,Spouse only,No,No,No,No,No
GHA0737,267.0,2.0,9.0,9.0,9.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,3.0,3.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,No,Yes,Yes,No,Yes,No,Man,Akan,No one,No,No,No,No,No
GHA0738,267.0,2.0,4.0,4.0,4.0,1.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,A little bit,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Yes,Yes,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0742,267.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,7.0,8.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Strongly agree,Strongly agree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Neither/ no change / about the same,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Neither Agree nor disagree,Strongly disagree,Ordinary Citizens,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,No,Not applicable,Refused to answer,Yes,Man,English,No one,No,No,No,No,No
GHA0747,267.0,2.0,5.0,1.0,5.0,3.0,8.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,7.0,9.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Strongly agree,Strongly disagree,Strongly agree,A lot,"Asia i.e., China, Russia",Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,Rich or developed countries,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,Not applicable,Don't know,Yes,Man,Akan,No one,No,No,No,No,No
GHA0755,267.0,2.0,9.0,9.0,9.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0756,267.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Agree,A lot,Europe,Yes,Somewhat worse,Natural weather patterns or natural processes,"People, businesses and governments in other parts of the world",Agree,Agree,Agree,Business and industry,Agree,Agree,Agree,Agree,Agree,Agree,No,No,No,No,No,Yes,Woman,Akan,Another adult/a few others,No,No,No,No,No
GHA0760,267.0,2.0,3.0,4.0,5.0,3.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,5.0,3.0,4.0,4.0,9.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Neither Agree nor disagree,Agree,Strongly agree,A lot,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Don't know,Yes,Yes,Not applicable,No,No,Man,English,Another adult/a few others,No,No,No,No,No
GHA0762,267.0,2.0,9.0,9.0,9.0,0.0,97.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,,2.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","The people, businesses and government of country",Strongly agree,Strongly agree,Strongly agree,The government of country,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,No,No,No,No,Woman,Akan,Spouse only,No,No,No,No,No
GHA0764,267.0,2.0,4.0,4.0,2.0,0.0,97.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Agree,Disagree,Not at all,Not applicable,Yes,Somewhat worse,Both human activity and natural processes,"The people, businesses and government of country",Agree,Disagree,Neither Agree nor disagree,Ordinary Citizens,Disagree,Disagree,Agree,Agree,Disagree,Disagree,No,Yes,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
